data,vacinacoes
17/01/2021,"20,145"
18/01/2021,"3,122"
19/01/2021,"62,525"
20/01/2021,"349,503"
21/01/2021,"393,289"
22/01/2021,"351,207"
23/01/2021,"87,021"
24/01/2021,"35,884"
25/01/2021,"227,427"
26/01/2021,"262,474"
27/01/2021,"307,977"
28/01/2021,"341,132"
29/01/2021,"303,023"
30/01/2021,"77,973"
31/01/2021,"35,771"
01/02/2021,"243,007"
02/02/2021,"278,417"
03/02/2021,"299,222"
04/02/2021,"331,629"
05/02/2021,"309,596"
06/02/2021,"93,836"
07/02/2021,"29,794"
08/02/2021,"278,305"
09/02/2021,"300,322"
10/02/2021,"362,468"
11/02/2021,"454,859"
12/02/2021,"504,990"
13/02/2021,"133,979"
14/02/2021,"41,026"
15/02/2021,"321,171"
16/02/2021,"312,375"
17/02/2021,"369,396"
18/02/2021,"427,631"
19/02/2021,"328,925"
20/02/2021,"60,051"
21/02/2021,"17,607"
22/02/2021,"239,602"
23/02/2021,"218,323"
24/02/2021,"191,735"
25/02/2021,"205,390"
26/02/2021,"304,224"
27/02/2021,"237,917"
28/02/2021,"60,869"
01/03/2021,"508,593"
02/03/2021,"524,574"
03/03/2021,"618,690"
04/03/2021,"522,154"
05/03/2021,"519,509"
06/03/2021,"234,639"
07/03/2021,"51,930"
08/03/2021,"445,350"
09/03/2021,"410,951"
10/03/2021,"450,412"
11/03/2021,"458,479"
12/03/2021,"469,745"
13/03/2021,"200,066"
14/03/2021,"41,807"
15/03/2021,"522,290"
16/03/2021,"425,449"
17/03/2021,"363,014"
18/03/2021,"438,041"
19/03/2021,"724,870"
20/03/2021,"376,876"
21/03/2021,"83,742"
22/03/2021,"657,613"
23/03/2021,"833,341"
24/03/2021,"1,016,193"
25/03/2021,"1,059,963"
26/03/2021,"1,086,441"
27/03/2021,"765,826"
28/03/2021,"226,522"
29/03/2021,"1,046,500"
30/03/2021,"1,190,423"
31/03/2021,"1,070,453"
01/04/2021,"757,272"
02/04/2021,"259,959"
03/04/2021,"439,791"
04/04/2021,"85,599"
05/04/2021,"1,046,444"
06/04/2021,"882,405"
07/04/2021,"816,559"
08/04/2021,"714,266"
09/04/2021,"915,379"
10/04/2021,"631,748"
11/04/2021,"114,206"
12/04/2021,"970,259"
13/04/2021,"869,806"
14/04/2021,"852,443"
15/04/2021,"888,221"
16/04/2021,"1,033,026"
17/04/2021,"671,829"
18/04/2021,"151,154"
19/04/2021,"1,217,374"
20/04/2021,"1,475,535"
21/04/2021,"804,253"
22/04/2021,"1,419,163"
23/04/2021,"1,241,790"
24/04/2021,"648,837"
25/04/2021,"141,601"
26/04/2021,"1,170,641"
27/04/2021,"1,108,433"
28/04/2021,"1,038,887"
29/04/2021,"956,415"
30/04/2021,"757,676"
01/05/2021,"340,985"
02/05/2021,"118,016"
03/05/2021,"889,567"
04/05/2021,"968,352"
05/05/2021,"1,099,570"
06/05/2021,"1,194,920"
07/05/2021,"951,333"
08/05/2021,"491,928"
09/05/2021,"36,345"
10/05/2021,"785,863"
11/05/2021,"846,541"
12/05/2021,"849,547"
13/05/2021,"784,483"
14/05/2021,"924,284"
15/05/2021,"553,954"
16/05/2021,"219,147"
17/05/2021,"799,152"
18/05/2021,"942,574"
19/05/2021,"926,243"
20/05/2021,"1,019,451"
21/05/2021,"978,635"
22/05/2021,"446,368"
23/05/2021,"69,228"
24/05/2021,"806,449"
25/05/2021,"875,476"
26/05/2021,"844,264"
27/05/2021,"891,994"
28/05/2021,"977,743"
29/05/2021,"455,042"
30/05/2021,"71,157"
31/05/2021,"783,670"
01/06/2021,"1,057,035"
02/06/2021,"1,267,151"
03/06/2021,"525,434"
04/06/2021,"810,018"
05/06/2021,"489,757"
06/06/2021,"95,685"
07/06/2021,"1,113,220"
08/06/2021,"1,226,107"
09/06/2021,"1,252,135"
10/06/2021,"1,252,390"
11/06/2021,"1,348,534"
12/06/2021,"888,905"
13/06/2021,"210,881"
14/06/2021,"1,277,803"
15/06/2021,"1,483,227"
16/06/2021,"1,691,671"
17/06/2021,"1,562,045"
18/06/2021,"1,478,092"
19/06/2021,"1,195,209"
20/06/2021,"253,439"
21/06/2021,"1,318,587"
22/06/2021,"1,406,271"
23/06/2021,"1,370,958"
24/06/2021,"1,097,280"
25/06/2021,"1,224,952"
26/06/2021,"1,046,377"
27/06/2021,"187,397"
28/06/2021,"1,496,671"
29/06/2021,"1,563,075"
30/06/2021,"1,544,306"
01/07/2021,"1,343,145"
02/07/2021,"1,464,778"
03/07/2021,"931,862"
04/07/2021,"191,280"
05/07/2021,"1,548,966"
06/07/2021,"1,852,056"
07/07/2021,"2,032,574"
08/07/2021,"1,774,235"
09/07/2021,"1,538,480"
10/07/2021,"965,686"
11/07/2021,"144,971"
12/07/2021,"1,607,559"
13/07/2021,"1,523,369"
14/07/2021,"1,496,585"
15/07/2021,"1,434,902"
16/07/2021,"1,561,000"
17/07/2021,"1,170,826"
18/07/2021,"164,172"
19/07/2021,"1,780,875"
